Metric,Value
design__instance__count,119771
design__instance__area,3.52113E+6
design__instance_unmapped__count,0
synthesis__check_error__count,98
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1511
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,980
design__max_cap_violation__count__corner:nom_tt_025C_1v80,17
power__internal__total,0.00039308861596509814
power__switching__total,0.0005059994291514158
power__leakage__total,6.175517910378403E-7
power__total,0.0008997055701911449
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.6895442190185874
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.93928556480211
timing__hold__ws__corner:nom_tt_025C_1v80,1.0858745321381265
timing__setup__ws__corner:nom_tt_025C_1v80,34.14181389797206
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,1.426812
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,34.141815
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2221
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,980
design__max_cap_violation__count__corner:nom_ss_100C_1v60,87
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.1952486005915937
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.4996102561961826
timing__hold__ws__corner:nom_ss_100C_1v60,2.253715500234868
timing__setup__ws__corner:nom_ss_100C_1v60,29.800060151885177
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.633569
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,29.800060
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,1382
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,980
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,5
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.6805145528593295
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6995990651477779
timing__hold__ws__corner:nom_ff_n40C_1v95,0.8727401270916741
timing__setup__ws__corner:nom_ff_n40C_1v95,35.7839457083162
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.872740
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,35.783947
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,1088
design__max_fanout_violation__count__corner:min_tt_025C_1v80,980
design__max_cap_violation__count__corner:min_tt_025C_1v80,13
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.636771764451968
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.8816720936220017
timing__hold__ws__corner:min_tt_025C_1v80,1.217100232824877
timing__setup__ws__corner:min_tt_025C_1v80,34.262055495831724
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,1.445635
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,34.262054
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,1727
design__max_fanout_violation__count__corner:min_ss_100C_1v60,980
design__max_cap_violation__count__corner:min_ss_100C_1v60,66
clock__skew__worst_hold__corner:min_ss_100C_1v60,-3.092934884640608
clock__skew__worst_setup__corner:min_ss_100C_1v60,1.388832199666067
timing__hold__ws__corner:min_ss_100C_1v60,2.451874328523218
timing__setup__ws__corner:min_ss_100C_1v60,30.08203904454648
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,2.616071
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,30.082039
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,946
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,980
design__max_cap_violation__count__corner:min_ff_n40C_1v95,3
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.57247430638537
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.655143957627671
timing__hold__ws__corner:min_ff_n40C_1v95,0.8911192036503246
timing__setup__ws__corner:min_ff_n40C_1v95,35.83969844565441
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.891119
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,35.839699
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1897
design__max_fanout_violation__count__corner:max_tt_025C_1v80,980
design__max_cap_violation__count__corner:max_tt_025C_1v80,23
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.739804016764812
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.9943330884551346
